0.1,0.1,25,44,21.875,31.25,32.710402651634915,8.55,72.23,56,22628372,123432,0.01535100769251585
0.1,0.2,25,32,21.875,50.0,50.94911521310117,8.55,72.14,74,16889876,89976,0.009260324761271477
0.1,0.3,25,24,21.875,62.5,63.10825692074533,10.75,71.6,100,13064212,67672,0.011600102297961712
0.1,0.4,25,16,21.875,75.0,75.2673986283895,10.1,69.36,72,9238548,45368,0.013427669182419777
0.1,0.5,25,7,21.875,89.0625,88.94643304948919,14.3,65.21,98,4934676,20276,0.0169211532920599
0.1,0.6,25,5,21.875,92.1875,91.98621847640023,7.66,61.86,87,3978260,14700,0.026054900139570236
0.1,0.7,25,3,21.875,95.3125,95.02600390331128,10.02,49.98,45,3021844,9124,0.007904479280114174
0.1,0.8,25,2,21.875,96.875,96.5458966167668,11.41,46.94,86,2543636,6336,0.025238780304789543
0.1,0.9,25,2,21.875,96.875,96.5458966167668,11.41,45.8,79,2543636,6336,0.016495738178491592
0.2,0.1,21,44,34.375,31.25,33.63934712212567,9.32,70.7,35,19130388,121728,0.01252296008169651
0.2,0.2,21,32,34.375,50.0,51.64255263473512,9.23,72.84,104,14276628,88704,0.010048182681202888
0.2,0.3,21,24,34.375,62.5,63.644689643141405,11.52,70.21,66,11040788,66688,0.014817161485552788
0.2,0.4,21,16,34.375,75.0,75.6468266515477,10.2,68.28,63,7804948,44672,0.014449253678321838
0.2,0.5,21,7,34.375,89.0625,89.14923078600478,12.87,63.58,69,4164628,19904,0.021386997774243355
0.2,0.6,21,5,34.375,92.1875,92.14976503810635,9.51,61.48,150,3355668,14400,0.016983866691589355
0.2,0.7,21,3,34.375,95.3125,95.15029929020791,11.03,51.23,66,2546708,8896,0.019051387906074524
0.2,0.8,21,2,34.375,96.875,96.65056641625871,12.36,45.82,75,2142228,6144,0.0194969791918993
0.2,0.9,21,2,34.375,96.875,96.65056641625871,12.36,46.04,67,2142228,6144,0.016932539641857147
0.3,0.1,16,44,50.0,31.25,34.8005277102391,9.98,70.91,47,14757908,119598,0.012041202746331692
0.3,0.2,16,32,50.0,50.0,52.50934941177754,8.78,71.11,92,11010068,87114,0.011698952876031399
0.3,0.3,16,24,50.0,62.5,64.31523054613648,9.34,69.54,58,8511508,65458,0.01301314402371645
0.3,0.4,16,16,50.0,75.0,76.12111168049543,9.72,67.72,78,6012948,43802,0.008521410636603832
0.3,0.5,16,7,50.0,89.0625,89.40272795664926,9.74,64.27,129,3202068,19439,0.019785083830356598
0.3,0.6,16,5,50.0,92.1875,92.354198240239,10.0,60.08,126,2577428,14025,0.01817210577428341
0.3,0.7,16,3,50.0,95.3125,95.30566852382873,11.42,48.86,45,1952788,8611,0.018710559234023094
0.3,0.8,16,2,50.0,96.875,96.7814036656236,12.95,46.83,72,1640468,5904,0.024376852437853813
0.3,0.9,16,2,50.0,96.875,96.7814036656236,12.95,46.69,64,1640468,5904,0.026823537424206734
