timestamp,model_mode,model_name,target_layers,threshold,pruned_pct_overall,baseline_acc,baseline_ece,postprune_acc,postprune_ece,best_retrain_acc,best_retrain_ece,epochs,lr,seed,per_layer_pruned_pct
2026-01-06 00:47:06,head,bert-base-uncased,"0,5,11",0.1,96.72309027777779,0.8371052631578947,0.07145516813074744,0.8372368421052632,0.0809121912846937,0.8606578947368421,0.029100193548601785,2,0.0005,42,"{0: 97.13541666666666, 5: 95.99609375, 11: 97.03776041666666}"
2026-01-06 00:55:41,head,bert-base-uncased,"0,5,11",0.2,98.90407986111111,0.8371052631578947,0.07145516813074744,0.825,0.051830364031164915,0.8530263157894736,0.019209472843507908,2,0.0005,42,"{0: 98.60026041666666, 5: 98.56770833333334, 11: 99.54427083333334}"
2026-01-06 01:07:58,head,bert-base-uncased,"0,5,11",0.3,99.51171875,0.8371052631578947,0.07145516813074744,0.665921052631579,0.02877261032009918,0.8501315789473685,0.024036755706621317,2,0.0005,42,"{0: 99.4140625, 5: 99.54427083333334, 11: 99.57682291666666}"
2026-01-06 01:22:14,head,bert-base-uncased,"0,5,11",0.4,99.65277777777779,0.8371052631578947,0.07145516813074744,0.6655263157894736,0.02997921393459519,0.8531578947368421,0.023682315086531902,2,0.0005,42,"{0: 99.44661458333334, 5: 99.83723958333334, 11: 99.67447916666666}"
2026-01-06 01:36:28,head,bert-base-uncased,"0,5,11",0.5,99.76128472222221,0.8371052631578947,0.07145516813074744,0.67,0.030562745201475464,0.8435526315789473,0.03214181552108053,2,0.0005,42,"{0: 99.51171875, 5: 99.90234375, 11: 99.86979166666666}"
2026-01-06 01:50:33,head,bert-base-uncased,"0,5,11",0.6,99.83723958333334,0.8371052631578947,0.07145516813074744,0.6778947368421052,0.03091221133340849,0.8563157894736843,0.026998954366814355,2,0.0005,42,"{0: 99.67447916666666, 5: 99.96744791666666, 11: 99.86979166666666}"
2026-01-06 02:04:45,head,bert-base-uncased,"0,5,11",0.7,99.91319444444444,0.8371052631578947,0.07145516813074744,0.6781578947368421,0.03168140888465032,0.8452631578947368,0.033625587295066775,2,0.0005,42,"{0: 99.83723958333334, 5: 99.96744791666666, 11: 99.93489583333334}"
2026-01-06 02:18:50,head,bert-base-uncased,"0,5,11",0.8,99.92404513888889,0.8371052631578947,0.07145516813074744,0.6784210526315789,0.031241682145008574,0.8506578947368421,0.019696851798773063,2,0.0005,42,"{0: 99.86979166666666, 5: 99.96744791666666, 11: 99.93489583333334}"
2026-01-06 02:33:03,head,bert-base-uncased,"0,5,11",0.9,99.93489583333334,0.8371052631578947,0.07145516813074744,0.6794736842105263,0.03096028290819018,0.8463157894736842,0.02000307863975867,2,0.0005,42,"{0: 99.90234375, 5: 99.96744791666666, 11: 99.93489583333334}"
2026-01-06 01:40:28,full,bert-base-uncased,"0,5,11",0.1,96.12630208333334,0.9453947368421053,0.011830500970407271,0.9393421052631579,0.008558110375508077,0.9451315789473684,0.023785725200215845,2,2e-05,42,"{0: 97.78645833333334, 5: 93.06640625, 11: 97.52604166666666}"
2026-01-06 02:14:41,full,bert-base-uncased,"0,5,11",0.2,98.49175347222221,0.9453947368421053,0.011830500970407271,0.9365789473684211,0.023043948714117225,0.9422368421052632,0.02609775920601361,2,2e-05,42,"{0: 98.828125, 5: 96.77734375, 11: 99.86979166666666}"
2026-01-06 02:41:02,full,bert-base-uncased,"0,5,11",0.3,99.62022569444444,0.9453947368421053,0.011830500970407271,0.9367105263157894,0.023781338540177936,0.9446052631578947,0.016949206688217186,2,2e-05,42,"{0: 99.47916666666666, 5: 99.47916666666666, 11: 99.90234375}"
2026-01-06 02:58:20,full,bert-base-uncased,"0,5,11",0.4,99.88064236111111,0.9453947368421053,0.011830500970407271,0.9355263157894737,0.026210924390737876,0.9444736842105264,0.02154154293788705,2,2e-05,42,"{0: 99.86979166666666, 5: 99.86979166666666, 11: 99.90234375}"
2026-01-06 03:15:35,full,bert-base-uncased,"0,5,11",0.5,99.92404513888889,0.9453947368421053,0.011830500970407271,0.9356578947368421,0.026473499986475007,0.9465789473684211,0.025401699187023376,2,2e-05,42,"{0: 99.93489583333334, 5: 99.93489583333334, 11: 99.90234375}"
2026-01-06 03:32:48,full,bert-base-uncased,"0,5,11",0.6,99.94574652777779,0.9453947368421053,0.011830500970407271,0.9356578947368421,0.026294432918160374,0.9431578947368421,0.018448836106232276,2,2e-05,42,"{0: 99.93489583333334, 5: 99.96744791666666, 11: 99.93489583333334}"
2026-01-06 03:50:02,full,bert-base-uncased,"0,5,11",0.7,99.95659722222221,0.9453947368421053,0.011830500970407271,0.9356578947368421,0.02553175910077561,0.945,0.01518358099318857,2,2e-05,42,"{0: 99.96744791666666, 5: 99.96744791666666, 11: 99.93489583333334}"
2026-01-06 04:07:15,full,bert-base-uncased,"0,5,11",0.8,99.95659722222221,0.9453947368421053,0.011830500970407271,0.9356578947368421,0.02553175910077561,0.9453947368421053,0.017625194401271325,2,2e-05,42,"{0: 99.96744791666666, 5: 99.96744791666666, 11: 99.93489583333334}"
2026-01-06 04:24:30,full,bert-base-uncased,"0,5,11",0.9,99.95659722222221,0.9453947368421053,0.011830500970407271,0.9356578947368421,0.02553175910077561,0.9447368421052632,0.020716208843757557,2,2e-05,42,"{0: 99.96744791666666, 5: 99.96744791666666, 11: 99.93489583333334}"
