epoch,train_loss,train_acc,val_loss,val_acc
1,4.532002905273438,0.0174,4.4383111328125,0.0252
2,4.413403486328125,0.02398,4.31129921875,0.0274
3,4.311798954925537,0.03046,4.270205615234375,0.0318
4,4.216553886413574,0.04034,4.064115234375,0.0507
5,4.052173360748291,0.05488,3.779146337890625,0.0843
6,3.877292355957031,0.0706,3.6946239990234373,0.0901
7,3.7025851629638673,0.09554,3.4625344604492185,0.1319
8,3.5452741157531737,0.12092,3.4275223693847656,0.1413
9,3.4059931810760498,0.14424,3.411358984375,0.1549
10,3.2841177452087402,0.16432,3.06223154296875,0.2038
11,3.140763599090576,0.19864,2.954343182373047,0.2342
12,3.0194789910888673,0.22082,2.8658884826660156,0.2476
13,2.8864013750457764,0.2488,2.6982714904785157,0.2822
14,2.7714788746643064,0.27708,2.5964612854003906,0.3033
15,2.669249401092529,0.30082,2.54717744140625,0.3321
16,2.574986677246094,0.32146,2.4333547119140624,0.3563
17,2.5096351250457762,0.34078,2.4603308227539062,0.3565
18,2.4366338625335695,0.35872,2.4393453125,0.3608
19,2.374453836212158,0.37516,2.320141345214844,0.3731
20,2.327561946487427,0.38558,2.287256817626953,0.3991
21,2.263861800994873,0.40468,2.2298972702026365,0.4153
22,2.2310129484558106,0.4136,2.2745219116210937,0.4084
23,2.186141569366455,0.4244,2.3536113220214845,0.4088
24,2.1570352519989013,0.43024,2.0543544494628905,0.4528
25,2.1168442337036133,0.44254,2.1507968048095703,0.4461
26,2.0890992685317995,0.45024,2.291749255371094,0.4178
27,2.0577738224029543,0.45994,2.17004970703125,0.4604
28,2.0255383545684813,0.46434,2.209302670288086,0.4449
29,1.9916571076965333,0.47578,1.9457022552490235,0.4874
30,1.984432318725586,0.47876,1.9478409072875977,0.4863
31,1.9609144234848022,0.4816,2.089895404052734,0.462
32,1.9416003433990479,0.49116,2.0497753448486327,0.4706
33,1.9118032947540282,0.4959,2.0785249614715577,0.4642
34,1.8883731080627442,0.50308,1.9859859497070314,0.4808
35,1.8633033438873292,0.51004,1.9723801330566406,0.5009
36,1.8488733128356933,0.51168,1.9265827377319336,0.4946
37,1.846555368270874,0.51166,1.7556056579589843,0.5306
38,1.8249760790252685,0.5206,1.9584100402832032,0.4987
39,1.8055043075561523,0.52564,2.1019326965332032,0.471
40,1.7959783184432982,0.52774,1.894000560760498,0.5081
41,1.7781054971694947,0.5312,1.777175486755371,0.532
42,1.7660375232696532,0.53412,2.0161801513671875,0.4953
43,1.7510167093658446,0.53842,1.9098402591705321,0.5085
44,1.7384273451995849,0.54134,2.1410569427490236,0.4812
45,1.7252226138305664,0.54674,1.6654637512207031,0.5488
46,1.713730505256653,0.54816,1.6828196563720703,0.5555
47,1.7162832441711426,0.54992,1.827830818939209,0.5315
48,1.7038558792114258,0.5516,1.9172448585510253,0.5094
49,1.6964330614471435,0.551,1.7418913391113282,0.5434
50,1.6730206369400025,0.55946,1.6676534515380859,0.5568
51,1.6744989477920533,0.55832,1.733288457107544,0.5442
52,1.6714909009552001,0.56306,1.7139449798583983,0.554
53,1.6624874319458007,0.5639,1.7591076240539552,0.5413
54,1.6559469676208496,0.56712,1.8583339813232422,0.528
55,1.646753938331604,0.56654,1.90319991645813,0.5248
56,1.631909827041626,0.57026,1.8528639595031737,0.5226
57,1.6285081095886231,0.57252,1.6854776397705078,0.5604
58,1.6257777212524414,0.5736,1.6341385906219483,0.5708
59,1.6160228182601928,0.57372,1.860029702758789,0.523
60,1.6238651602554321,0.57596,1.777853879547119,0.542
61,1.5977116578292847,0.58,1.686183416748047,0.5624
62,1.5958774422836304,0.5805,1.9473800338745118,0.5196
63,1.5869161540985108,0.58292,1.838716860961914,0.5363
64,1.593748138809204,0.57982,1.8470664047241212,0.5336
65,1.5904112521743774,0.58222,1.6345485076904296,0.5703
66,1.5763959096908569,0.58598,1.6910597370147704,0.5637
67,1.5792337826919556,0.58712,1.8488265197753906,0.5396
68,1.5622585997772216,0.58952,1.7247483047485352,0.5569
69,1.557286642074585,0.58938,1.6474419887542724,0.5711
70,1.562422936668396,0.59148,1.9313346134185791,0.5274
71,1.552596697921753,0.59154,1.7484229068756103,0.5467
72,1.5563273544692993,0.5924,1.7877006759643554,0.5419
73,1.5402616314697266,0.59738,1.6936966466903687,0.5543
74,1.5284143450164795,0.59734,1.8307663707733155,0.5457
75,1.5331494580078124,0.599,1.6271445631027222,0.5734
76,1.5292461605834962,0.59892,1.7243470260620117,0.559
77,1.528434951133728,0.59834,1.78114750289917,0.5476
78,1.5063714007568358,0.6044,1.8581468269348145,0.5427
79,1.521977850036621,0.59938,1.737131819152832,0.5557
80,1.5089022409439088,0.60288,1.680111361694336,0.5688
81,1.506127601852417,0.60482,1.7060479370117188,0.5588
82,1.5134062210083008,0.60284,1.7250848236083984,0.5557
83,1.5127294556045532,0.60248,1.6282216957092286,0.5747
84,1.505184387512207,0.6039,1.7483374389648438,0.554
85,1.496689193458557,0.60644,1.7140356094360352,0.5662
86,1.4965391137695312,0.60654,1.682297601699829,0.574
87,1.4878730138778686,0.60882,1.7251177612304687,0.5591
88,1.493824483947754,0.60992,1.605400143814087,0.5817
89,1.4818174234771728,0.6103,1.6441638938903809,0.5721
90,1.4659312069320678,0.6134,1.7372877964019775,0.5666
91,1.4800683303451538,0.6097,1.7505719650268554,0.5666
92,1.4888003357315063,0.60858,1.6827283924102783,0.567
93,1.4702054055023193,0.614,1.656965350151062,0.5741
94,1.472707304649353,0.61314,1.7900654747009277,0.5487
95,1.4682711753845215,0.61628,1.8002273303985596,0.5488
96,1.4704087788009643,0.6108,1.8365128005981446,0.5553
97,1.4865572827529907,0.60994,1.8199077365875245,0.546
98,1.4520288403701782,0.6192,1.6372740707397462,0.5778
99,1.4642766318893432,0.6164,1.6144945919036866,0.5786
100,1.4490657608795166,0.61982,1.6690462856292725,0.5717
101,1.4591726714706421,0.61916,1.6816718669891357,0.5738
102,1.452748274307251,0.61892,1.835785857963562,0.5446
103,1.455472911682129,0.61964,1.690073564720154,0.5729
104,1.4538474181365966,0.617,1.8315771114349366,0.5411
105,1.4585597887420654,0.61596,1.8080168182373046,0.5494
106,1.4527406857299805,0.61834,1.7800163360595702,0.5501
107,1.4359952991485596,0.62176,1.663289303970337,0.5714
108,1.4398509791564942,0.62244,1.75541826171875,0.5599
