epoch,train_loss,train_acc,val_loss,val_acc
1,4.231413408203125,0.0563,3.7000227172851563,0.1324
2,3.781666185913086,0.11232,3.291500664520264,0.2007
3,3.501650717163086,0.1574,3.004557172012329,0.2526
4,3.2896876094055174,0.19418,2.762873840713501,0.305
5,3.127577640457153,0.22182,2.6641454856872557,0.3175
6,3.0035555293273926,0.24654,2.521304906463623,0.3416
7,2.889822065811157,0.26972,2.408881993484497,0.3677
8,2.8112573039245605,0.28256,2.2881441410064696,0.396
9,2.73989251121521,0.29838,2.315833243179321,0.3846
10,2.6747886708831787,0.31408,2.609443618392944,0.3366
11,2.6146018577575685,0.32242,2.2574239177703856,0.3966
12,2.571114630279541,0.33112,2.08927649269104,0.4359
13,2.525621287689209,0.34366,2.0482866165161133,0.449
14,2.4825177938842775,0.35096,2.0406343463897705,0.4538
15,2.4588974423217773,0.35658,1.9979042446136475,0.462
16,2.416061116485596,0.36668,2.018006322479248,0.4612
17,2.3893593448638915,0.37028,2.0029486055374144,0.4563
18,2.3686879568481447,0.37708,1.9654951761245727,0.4662
19,2.339699406967163,0.38036,1.9024784929275513,0.4773
20,2.3048415160369875,0.3894,1.840356206893921,0.4956
21,2.283190559082031,0.39406,1.8921943017959595,0.4813
22,2.2690811652374268,0.39798,1.8199424964904785,0.4918
23,2.2424478929901124,0.40334,1.8364173341751098,0.4949
24,2.22049489364624,0.41218,1.792431784439087,0.4981
25,2.2006277627563477,0.41154,1.8205604551315309,0.5006
26,2.187459911956787,0.41474,1.763396392059326,0.509
27,2.173796678543091,0.41814,1.7650940059661866,0.5116
28,2.1450277618789673,0.42516,1.7610806829452514,0.5108
29,2.129938641204834,0.4285,1.7316911207199097,0.5135
30,2.1157413902282713,0.4287,1.7043333044052125,0.5218
31,2.09600928024292,0.43308,1.769578777885437,0.5136
32,2.089149970550537,0.43834,1.69288602809906,0.5287
33,2.074869654502869,0.4418,1.7253955883026124,0.5169
34,2.052340523033142,0.44664,1.7052367567062379,0.5273
35,2.0429257876586915,0.44858,1.6702825721740722,0.5347
36,2.024195764465332,0.45258,1.6763581081390382,0.5391
37,2.018899689292908,0.45578,1.6951895965576171,0.526
38,2.0040991975402833,0.45632,1.6313944553375244,0.5436
39,1.9898746437835693,0.46316,1.6613613189697265,0.5312
40,1.9718891982269287,0.4658,1.6806576229095458,0.5329
41,1.9721949732208253,0.46626,1.5677514236450196,0.5612
42,1.9570632056427002,0.46822,1.6143181667327882,0.5467
43,1.9386920917510986,0.47276,1.6181054555892944,0.5468
44,1.9273411252212524,0.4751,1.6172419174194337,0.5477
45,1.9223098278808595,0.47718,1.584939682006836,0.5575
46,1.9168689011383058,0.47794,1.6127962102890014,0.5495
47,1.8992063543701172,0.48432,1.5798605499267577,0.5577
48,1.7908856686019898,0.50696,1.4743098180770875,0.5826
49,1.7653639981079101,0.51426,1.4639792228698731,0.5847
50,1.756735119972229,0.5145,1.4651495475769043,0.5849
51,1.7422477212524414,0.51916,1.4556948936462402,0.59
52,1.7442478121185303,0.51796,1.451284243965149,0.5895
53,1.7320145755767822,0.52294,1.4495233394622802,0.5931
54,1.734116758956909,0.51862,1.4503203596115113,0.5916
55,1.7227906880950927,0.52014,1.444632032394409,0.5903
56,1.7230151094818116,0.52186,1.44591870803833,0.5928
57,1.7141190250778198,0.52526,1.444804351425171,0.5945
58,1.7126591912078857,0.52606,1.445659561920166,0.5933
59,1.700987017440796,0.52852,1.4411677589416505,0.593
60,1.7076188903045655,0.52878,1.4392493646621705,0.593
61,1.6974461957168578,0.5306,1.433467776107788,0.5943
62,1.696563690109253,0.53094,1.4353493465423584,0.596
63,1.6998718884658814,0.5291,1.4257644458770753,0.5958
64,1.6932461502456666,0.53258,1.4353848043441773,0.596
65,1.699102587966919,0.53136,1.4337762258529663,0.5978
66,1.6857042864227294,0.53394,1.428016875076294,0.5966
67,1.6794005742263793,0.5323,1.428325360107422,0.5976
68,1.6868195349884034,0.53058,1.4266443187713622,0.5945
69,1.67782906375885,0.53562,1.4220082111358643,0.5982
70,1.667609815940857,0.53748,1.4220215747833251,0.5989
71,1.6645689541625976,0.5405,1.4231279657363891,0.5998
72,1.6655664129257202,0.53436,1.4139071619033814,0.6018
73,1.6630022478485107,0.53828,1.4187539140701293,0.6007
74,1.664040888748169,0.53718,1.413272036933899,0.6013
75,1.6554352899169922,0.54014,1.4131332622528077,0.6003
76,1.6693042065429688,0.53766,1.419324489212036,0.5982
77,1.6570896396636963,0.54032,1.413567525100708,0.5993
78,1.6493239990997315,0.54028,1.411688570213318,0.6022
79,1.6476372872161866,0.54582,1.4110801151275634,0.6017
80,1.6512641455078125,0.54294,1.4108234582901,0.6005
81,1.6440246049880982,0.5426,1.4144159507751466,0.6011
82,1.6426111848068237,0.54382,1.4059692596435547,0.602
83,1.633747532081604,0.54838,1.407581103515625,0.6024
84,1.64523919631958,0.5434,1.4078670875549317,0.6019
85,1.6350012741851807,0.5458,1.4086066110610962,0.603
86,1.6314177390670777,0.54606,1.406512628364563,0.6027
87,1.6292635132598876,0.54578,1.4024168090820313,0.6039
88,1.6213304927825927,0.54898,1.406370006942749,0.6022
89,1.6239714959716798,0.54902,1.4022607564926148,0.602
90,1.6172311672973634,0.54984,1.3996471033096314,0.6068
91,1.617232878189087,0.55036,1.4019934930801392,0.6056
92,1.6197631271362305,0.54824,1.3964423728942872,0.6043
